GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 19:37,-3.675403,-1.787500
2021-10-11 19:37,-3.675735,-2.322500
2021-10-11 19:37,-3.676066,-2.857500
2021-10-11 19:38,-3.676397,-3.392500
2021-10-11 19:38,-3.676728,-3.927500
2021-10-11 19:38,-3.677059,-4.462500
2021-10-11 19:38,-3.677391,-3.225000
2021-10-11 19:38,-3.677722,-2.810000
2021-10-11 19:38,-3.678053,-4.990000
2021-10-11 19:38,-3.678385,-4.520000
2021-10-11 19:38,-3.678716,-3.341000
2021-10-11 19:38,-3.679047,-4.103000
2021-10-11 19:38,-3.679378,-4.865000
2021-10-11 19:38,-3.679709,-5.627000
2021-10-11 19:38,-3.680041,-6.389000
2021-10-11 19:38,-3.680372,-6.518572
2021-10-11 19:38,-3.680703,-6.015715
2021-10-11 19:38,-3.681035,-5.512857
2021-10-11 19:38,-3.681366,-5.010000
2021-10-11 19:38,-3.681697,-4.507143
2021-10-11 19:38,-3.682028,-4.004286
2021-10-11 19:38,-3.682359,-3.501429
2021-10-11 19:38,-3.682691,-3.389167
2021-10-11 19:38,-3.683022,-3.667500
2021-10-11 19:38,-3.683353,-3.945833
2021-10-11 19:38,-3.683684,-4.224167
2021-10-11 19:38,-3.684016,-4.502500
2021-10-11 19:38,-3.684347,-4.780833
2021-10-11 19:38,-3.684678,-4.622500
2021-10-11 19:38,-3.685009,-4.027500
2021-10-11 19:38,-3.685341,-3.432500
2021-10-11 19:38,-3.685672,-2.837500
2021-10-11 19:38,-3.686003,-2.960000
2021-10-11 19:39,-3.686334,-3.800000
2021-10-11 19:39,-3.686666,-4.228333
2021-10-11 19:39,-3.686997,-4.245000
2021-10-11 19:39,-3.687328,-4.261667
2021-10-11 19:39,-3.687660,-4.235909
2021-10-11 19:39,-3.687991,-4.167727
2021-10-11 19:39,-3.688322,-4.099545
2021-10-11 19:39,-3.688653,-4.031363
2021-10-11 19:39,-3.688984,-3.963182
2021-10-11 19:39,-3.689316,-3.895000
2021-10-11 19:39,-3.689647,-3.826818
2021-10-11 19:39,-3.689978,-3.758636
2021-10-11 19:39,-3.690310,-3.690455
2021-10-11 19:39,-3.690641,-3.622273
2021-10-11 19:39,-3.690972,-3.554091
2021-10-11 19:39,-3.691303,-2.705000
2021-10-11 19:39,-3.691634,-3.100000
2021-10-11 19:39,-3.691966,-4.341667
2021-10-11 19:39,-3.692297,-4.405000
2021-10-11 19:39,-3.692628,-4.468333
2021-10-11 19:39,-3.692960,-4.531667
2021-10-11 19:39,-3.693291,-4.595000
2021-10-11 19:39,-3.693622,-4.658333
2021-10-11 19:39,-3.693953,-4.721667
